,Label,ROC_CARDIOLOGIST,ROC_MUSE,PR_CARDIOLOGIST,PR_MUSE,PR_diff,ROC_diff
53,2nd degree AV block - mobitz 2,0.8532422942780785,0.8535600985312278,0.6155568358106726,0.6130581999296262,0.002498635881046374,-0.00031780425314931193
19,Premature ventricular complex,0.8985055959717282,0.8995949681226834,0.8125357350532,0.8100648069500325,0.0024709281031675134,-0.0010893721509551701
52,"ST depression (lateral - I, avL, V5-V6)",0.8320769509914326,0.8330168886854068,0.5988435650687836,0.5964316568432507,0.002411908225532833,-0.0009399376939741577
28,Atrial flutter,0.852397283594879,0.8409288906302055,0.6231084407827593,0.6207136608093812,0.002394779973378114,0.011468392964673502
6,Left bundle branch block,0.9064177201992663,0.9054222335936298,0.795901036726786,0.7939399167508061,0.001961119975979919,0.0009954866056364198
75,Ventricular Rhythm,0.8953959031326095,0.8957396723256441,0.8229258126435426,0.8215567917698677,0.0013690208736748533,-0.0003437691930345821
22,Right bundle branch block,0.9329810207342634,0.9317450313822555,0.8730332853337816,0.8717603112516455,0.0012729740821360025,0.0012359893520078602
32,Right axis deviation,0.8418314412882356,0.8437713910754191,0.7042539658413199,0.7030672331025274,0.0011867327387925508,-0.0019399497871834814
57,Left posterior fascicular block,0.801604764893286,0.8015879771308934,0.43448243176866636,0.43339756626434894,0.0010848655043174116,1.6787762392667105e-05
15,Afib,0.9392796651903478,0.938140428107719,0.8990223834725568,0.8980963860105884,0.0009259974619684197,0.0011392370826287523
26,1st degree AV block,0.9017106160342916,0.9009487894278605,0.8322696357723613,0.8315520837858712,0.0007175519864901503,0.000761826606431093
1,Regular,0.9283850360918775,0.9255039132636187,0.9887894865485984,0.9883398526305857,0.00044963391801278174,0.0028811228282588086
38,Regularly irregular,0.8633181049186391,0.8642868323049412,0.6806978900971683,0.6804081125806825,0.00028977751648584515,-0.0009687273863020485
11,Left axis deviation,0.8661363029007659,0.8668844930671086,0.7621659830592304,0.7619237986527567,0.0002421844064737222,-0.0007481901663426438
23,Ventricular paced,0.9525330943519751,0.9495415260935017,0.9086203047148613,0.9084565807177228,0.0001637239971384874,0.002991568258473354
76,no_qrs,0.9736674455048565,0.9736674455048565,0.9313213843397462,0.9313213843397462,0.0,0.0
63,Right superior axis,0.6665728146444907,0.6665728146444907,0.2000134068924834,0.2000134068924834,0.0,0.0
59,ST depression (septal- V1-V2),0.7602225829038093,0.7602225829038093,0.29017472685464757,0.29017472685464757,0.0,0.0
55,R/S ratio in V1-V2 >1,0.8648976852931743,0.8648976852931743,0.6987992442758957,0.6987992442758957,0.0,0.0
56,RV1 + SV6 > 11 mm,0.8206915679548793,0.8206915679548793,0.555179494564561,0.555179494564561,0.0,0.0
20,Polymorph,0.7815784795182938,0.7815784795182938,0.46353036291797,0.46353036291797,0.0,0.0
29,rSR' in V1-V2,0.8732737610940314,0.8732737610940314,0.7315432846269024,0.7315432846269024,0.0,0.0
48,QRS complex negative in III,0.7987315663863296,0.7987315663863296,0.6029469356457724,0.6029469356457724,0.0,0.0
47,ST depression (anterior - V3-V4),0.8070602649661729,0.8070602649661729,0.4960886058766454,0.4960886058766454,0.0,0.0
30,"qRS in V5-V6-I, aVL",0.8144203493484967,0.8144203493484967,0.5442198108962955,0.5442198108962955,0.0,0.0
66,Ectopic atrial rhythm (< 100 BPM),0.7465967901085403,0.7465967901085403,0.29521847572321674,0.29521847572321674,0.0,0.0
3,QS complex in V1-V2-V3,0.8839448664423761,0.8839448664423761,0.7480438092207747,0.7480438092207747,0.0,0.0
4,R complex in V5-V6,0.8979378520659638,0.8979378520659638,0.8190341268279505,0.8190341268279505,0.0,0.0
7,RaVL > 11 mm,0.8401964286630409,0.8401964286630409,0.6598747731127739,0.6598747731127739,0.0,0.0
21,T wave inversion (septal- V1-V2),0.8474877503550453,0.8474949055805063,0.6187914876237802,0.6188226350369339,-3.1147413153687076e-05,-7.155225461019654e-06
8,SV1 + RV5 or RV6 > 35 mm,0.8210663138778854,0.8212413437616173,0.5509524110345718,0.5509878770670936,-3.546603252180258e-05,-0.00017502988373185868
5,"T wave inversion (inferior - II, III, aVF)",0.8129148327094432,0.8132478734506923,0.6850820402285974,0.6851359015296157,-5.386130101825426e-05,-0.0003330407412490688
2,Monomorph,0.8468482386654523,0.8485796635706646,0.9879355000569658,0.9880603415244732,-0.0001248414675073528,-0.0017314249052122754
0,Sinusal,0.9460581503643569,0.9465367761685355,0.9846438580014862,0.9847934218431544,-0.0001495638416681988,-0.00047862580417856737
46,Prolonged QT,0.8572174583096488,0.8579660430133978,0.521016583157225,0.5213718309800157,-0.0003552478227907274,-0.0007485847037490556
54,U wave,0.8468668538124622,0.8468702063446297,0.44267893850479595,0.44341293733039777,-0.0007339988256018226,-3.3525321675442754e-06
9,"T wave inversion (lateral -I, aVL, V5-V6)",0.8138414455750981,0.8147115575194491,0.6845888825797343,0.68537052477263,-0.0007816421928957817,-0.0008701119443510485
16,Irregularly irregular,0.9145859977606624,0.913985704137525,0.8586325768254581,0.8595536889475627,-0.0009211121221045504,0.0006002936231374045
18,Nonspecific intraventricular conduction delay,0.7913838274830431,0.7983134525741463,0.5425123403457649,0.54377979566742,-0.0012674553216550644,-0.006929625091103175
72,Bi-atrial enlargement,0.9265435322215441,0.9265569434292904,0.5285919439100307,0.5306421489305329,-0.002050205020502127,-1.341120774633886e-05
17,Atrial tachycardia (>= 100 BPM),0.9385826681845221,0.9430167345678746,0.8559161719622138,0.8579852283723397,-0.0020690564101258913,-0.004434066383352531
37,Low voltage,0.821590249148515,0.8242228433618065,0.6662485008808106,0.6683498434954263,-0.0021013426146156977,-0.002632594213291539
25,ST elevation (septal - V1-V2),0.7981610442186514,0.8031827631310644,0.4534541361496549,0.45559169861951293,-0.002137562469858023,-0.005021718912412987
12,Left ventricular hypertrophy,0.9280919133496958,0.9298363259845931,0.8129699086077701,0.8152477593492897,-0.002277850741519649,-0.00174441263489733
10,T wave inversion (anterior - V3-V4),0.8199073798746463,0.8218391687821712,0.6209301059933271,0.6232095352965227,-0.0022794293031955792,-0.0019317889075248784
58,Right atrial enlargement,0.9220675914537905,0.9243864597276721,0.5931425402194618,0.59544746310466,-0.002304922885198235,-0.0023188682738816135
42,Atrial paced,0.9063930774322031,0.9072725903357614,0.7962227893851218,0.8008305332974879,-0.004607743912366069,-0.000879512903558255
40,Left atrial enlargement,0.9122553705344733,0.9133015460558727,0.6444081877632559,0.6492980285552511,-0.00488984079199517,-0.0010461755213994062
60,Q wave (septal- V1-V2),0.9124569126692776,0.9220647953936649,0.700068483501445,0.7050091497872585,-0.0049406662858134665,-0.009607882724387284
24,ST elevation (anterior - V3-V4),0.8353733031534676,0.8441163385982288,0.47870691483566885,0.48383074214798855,-0.005123827312319695,-0.008743035444761182
71,Q wave (posterior - V7-V9),0.8098637303180737,0.817221824406073,0.5046978351403297,0.5106616054466369,-0.005963770306307126,-0.007358094087999367
14,"Q wave (inferior - II, III, aVF)",0.8965531139770122,0.9067197293391381,0.7791956673637246,0.7854035826784429,-0.006207915314718315,-0.01016661536212593
61,Q wave (anterior - V3-V4),0.8453090831429589,0.8558945168907991,0.6623126613857686,0.6686173679566074,-0.006304706570838814,-0.010585433747840156
51,ST downslopping,0.847286772590094,0.851745424983622,0.6756676014315539,0.6825263450144285,-0.006858743582874638,-0.004458652393528051
41,"ST elevation (lateral - I, aVL, V5-V6)",0.8291772294423198,0.8445456139183347,0.4961740095512124,0.5036242800465178,-0.007450270495305444,-0.015368384476014962
49,"Q wave (lateral- I, aVL, V5-V6)",0.8105410307167027,0.8259668235669729,0.5612825599061254,0.5693283883118495,-0.008045828405724098,-0.015425792850270237
36,"ST elevation (inferior - II, III, aVF)",0.8773480025831578,0.8922686952655107,0.557089557151773,0.5652408269419542,-0.008151269790181215,-0.014920692682352854
69,Acute MI,0.8735346038023775,0.8989044800512884,0.5906729004749403,0.6036066641667618,-0.012933763691821532,-0.02536987624891096
64,Ventricular tachycardia,0.7355037064253985,0.7543213372384032,0.33359915485115754,0.3479075742090798,-0.014308419357922264,-0.018817630813004693
39,Junctional rhythm,0.8302226843290578,0.8512828713529133,0.4430906825320309,0.46036556953405067,-0.01727488700201979,-0.02106018702385548
68,Third Degree AV Block,0.901794678275179,0.9167435240136251,0.4690433169540872,0.4872542474085928,-0.018210930454505614,-0.014948845738446126
67,Lead misplacement,,,,,,
73,LV pacing,,,,,,
74,Brugada,,,,,,
